sample_index,ingress_sequence,kind,control,action,value,active_rate_index,active_holes,scheduler_error,effective_edge_frames,cut
1194000,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,1
1196250,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,0
1200000,0,beat_boundary,TEMPO,UNSUPPORTED,120,6,3,0,192,0
1200000,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,1
1202250,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,0
1206000,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,1
1208250,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,0
1212000,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,1
1214250,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,0
1218000,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,1
1220250,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,0
1224000,0,beat_boundary,TEMPO,UNSUPPORTED,120,6,3,0,192,0
1224000,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,1
1226250,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,0
1230000,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,1
1232250,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,0
1236000,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,1
1238250,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,0
1242000,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,1
1244250,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,0
1248000,0,beat_boundary,TEMPO,UNSUPPORTED,120,6,3,0,192,0
1248000,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,1
1250250,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,0
1254000,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,1
1256250,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,0
1260000,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,1
1262250,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,0
1266000,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,1
1268250,0,opportunity,CUT,UNSUPPORTED,4,6,3,0,192,0
1272000,0,beat_boundary,TEMPO,UNSUPPORTED,120,6,3,0,192,0
