sample_index,ingress_sequence,kind,control,action,value,active_rate_index,active_holes,scheduler_error,effective_edge_frames,cut
1443000,0,opportunity,CUT,UNSUPPORTED,8,8,3,6,192,0
1446000,0,opportunity,CUT,UNSUPPORTED,8,8,3,1,192,1
1449000,0,opportunity,CUT,UNSUPPORTED,8,8,3,4,192,0
1452000,0,opportunity,CUT,UNSUPPORTED,8,8,3,7,192,0
1455000,0,opportunity,CUT,UNSUPPORTED,8,8,3,2,192,1
1458000,0,opportunity,CUT,UNSUPPORTED,8,8,3,5,192,0
1461000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1464000,0,beat_boundary,TEMPO,UNSUPPORTED,120,8,3,0,192,1
1464000,0,opportunity,CUT,UNSUPPORTED,8,8,3,3,192,0
1467000,0,opportunity,CUT,UNSUPPORTED,8,8,3,6,192,0
1470000,0,opportunity,CUT,UNSUPPORTED,8,8,3,1,192,1
1473000,0,opportunity,CUT,UNSUPPORTED,8,8,3,4,192,0
1476000,0,opportunity,CUT,UNSUPPORTED,8,8,3,7,192,0
1479000,0,opportunity,CUT,UNSUPPORTED,8,8,3,2,192,1
1482000,0,opportunity,CUT,UNSUPPORTED,8,8,3,5,192,0
1485000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1488000,0,beat_boundary,TEMPO,UNSUPPORTED,120,8,3,0,192,1
1488000,0,opportunity,CUT,UNSUPPORTED,8,8,3,3,192,0
1491000,0,opportunity,CUT,UNSUPPORTED,8,8,3,6,192,0
1494000,0,opportunity,CUT,UNSUPPORTED,8,8,3,1,192,1
1497000,0,opportunity,CUT,UNSUPPORTED,8,8,3,4,192,0
1500000,0,opportunity,CUT,UNSUPPORTED,8,8,3,7,192,0
1503000,0,opportunity,CUT,UNSUPPORTED,8,8,3,2,192,1
1506000,0,opportunity,CUT,UNSUPPORTED,8,8,3,5,192,0
1509000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
1512000,0,beat_boundary,TEMPO,UNSUPPORTED,120,8,3,0,192,1
1512000,0,opportunity,CUT,UNSUPPORTED,8,8,3,3,192,0
1515000,0,opportunity,CUT,UNSUPPORTED,8,8,3,6,192,0
1518000,0,opportunity,CUT,UNSUPPORTED,8,8,3,1,192,1
1521000,0,opportunity,CUT,UNSUPPORTED,8,8,3,4,192,0
1524000,0,opportunity,CUT,UNSUPPORTED,8,8,3,7,192,0
1527000,0,opportunity,CUT,UNSUPPORTED,8,8,3,2,192,1
1530000,0,opportunity,CUT,UNSUPPORTED,8,8,3,5,192,0
1533000,0,opportunity,CUT,UNSUPPORTED,8,8,3,0,192,1
